,オングストローム,ポテンシャル
1,3.5,0.01619881877364749
2,3.6,0.0064969930834625714
3,3.7,0.0004956340936570515
4,3.8,-0.0031151631518498714
5,3.9,-0.005183092915853133
6,4,-0.006259836045510408
7,4.1,-0.006705895335112867
8,4.2,-0.006757386106367029
9,4.3,-0.006568978632168429
10,4.4,-0.006241737892639949
11,4.5,-0.0058413077395205616
12,5,-0.0037717555285968827
13,6,-0.0014317725304751764
14,7,-0.0005881151124209267
15,8,-0.00026724648066026117
16,9,-0.000132496966186248
17,10,-7.057727067138968e-05
18,11,-3.988446580130862e-05
19,12,-2.367735195299346e-05
20,13,-1.4652288808177395e-05
21,14,-9.394675012377559e-06
